stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column,target
HDFCBANK,7,original/LSTM,classical,108.03188861211486,,109.74862560310257,12.0620024809262,,,,,Close,
HDFCBANK,7,DirectTabular,autogluon_internal,110.07699148995549,12317.880271240034,110.98594627807628,12.569909588043041,13.425451968119201,12.590833549322312,12.276829495651304,-69.82948807027151,,
HDFCBANK,7,AttentionForecaster,dl_univariate,112.55228140014773,,112.96456285896096,12.70232012974411,,,,,,Close
HDFCBANK,7,Transformer,dl_multivariate,114.53640441081924,,114.85173640406319,12.92813758712798,,,,,,Close
TCS,7,original/RandomForest,classical,130.488190305914,,161.35805277877645,3.214868738652273,,,,,Close,
TCS,7,Transformer,dl_univariate,150.52075280369027,,168.3603277243571,3.7385967109320775,,,,,,Close
TCS,7,original/ExpSmoothing,classical,140.92842929105782,,169.19572246218098,3.41129293079496,,,,,Close,
TCS,7,original/XGBoost,classical,139.3076427949686,,171.4181346712642,3.437765493588249,,,,,Close,
TCS,7,original/ARIMA,classical,150.9563424007271,,179.75348697524652,3.6533724763970064,,,,,Close,
TCS,7,SeasonalNaive,autogluon_internal,161.00674874442035,33411.17806968749,182.78724810469546,3.966697807335008,4.057346078723899,4.0091023165830535,4.273478510388526,-1.9455220136168996,,
TCS,7,ETS,autogluon_internal,177.8790779704355,42657.095335744074,206.5359419949566,4.361910476696345,4.493325273907882,4.42922690585443,4.721307790402323,-2.7606400195263805,,
TCS,7,AutoARIMA,statsforecast,178.54653556124438,43266.91556699406,208.00700845643172,4.377349903143561,4.510670253495346,4.445846741944534,4.739023604758932,-2.814401635227248,,
TCS,7,arima,flaml,179.67133215159765,43637.877442545956,208.89681051309987,4.405510096719716,4.5400107869485335,4.473854416475172,4.768878217033994,-2.847105551514536,,
TCS,7,Naive,autogluon_internal,181.9688895089293,44455.71812352141,210.84524686015905,4.462771034991369,4.599832232234086,4.531064083744352,4.8298605178972185,-2.919206203710041,,
TCS,7,Theta,autogluon_internal,185.85613361619042,46333.27375304307,215.2516521493925,4.55833239564732,4.701293156885738,4.627857289476881,4.933036653596875,-3.08473108963329,,
TCS,7,WeightedEnsemble,autogluon_timeseries,184.4032156808043,46441.32235144743,215.50248804003965,4.521773751462872,4.664957715702885,4.591679323609078,4.894472968393302,-3.094256629992169,,
TCS,7,RecursiveTabular,autogluon_internal,184.4032156808043,46441.32235144743,215.50248804003965,4.521773751462872,4.664957715702885,4.591679323609078,4.894472968393302,-3.094256629992169,,
TCS,7,DirectTabular,autogluon_internal,174.78145926339215,48719.249041063165,220.7243734639724,4.443570297086529,4.289381167204613,4.3520955406716455,4.639090075423552,-3.2950781393587008,,
NIFTY50,7,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,197.87615565561208,,236.52425049464702,0.8269774258142712,,,,,,Close
BANKNIFTY,7,XGBoostSeq,dl_univariate,263.86075427551987,,306.51698444106114,0.51416484003912,,,,,,Close
NIFTY50,7,XGBoostSeq,dl_multivariate,358.85614798092064,,386.2095210901614,1.5092826634707746,,,,,,Close
BANKNIFTY,7,XGBoostSeq,dl_multivariate,314.39463043323485,,399.2911372313515,0.6136409076820292,,,,,,Close
TCS,7,BiLSTM,dl_univariate,397.4932948745103,,401.48122024627327,9.94051492734204,,,,,,Close
TCS,7,AttentionForecaster,dl_multivariate,407.8927064187803,,419.4493261686272,10.180405711755043,,,,,,Close
TCS,7,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,423.69200424223334,,426.1928263573753,10.638461264449536,,,,,,Close
HDFCBANK,7,decomposition+model/ExpSmoothing,classical,433.5991968296883,,434.1232662295339,48.561506180630445,,,,,Close,
HDFCBANK,7,decomposition+model/ARIMA,classical,434.3023781834482,,434.8248491961879,48.640227112294774,,,,,Close,
HDFCBANK,7,decomposition+model/RandomForest,classical,435.66698273585877,,436.38436157606446,48.78346230521115,,,,,Close,
HDFCBANK,7,decomposition+model/XGBoost,classical,436.77197224177604,,437.4853603340123,48.90742249036478,,,,,Close,
NIFTY50,7,XGBoostSeq,dl_univariate,431.93405139369787,,443.97270175352946,1.8139412441504312,,,,,,Close
NIFTY50,7,RecursiveTabular,autogluon_internal,415.36537388392856,209609.32618345533,457.8311109824837,1.7280503302541435,1.7436429934424218,1.737963658980541,2.319735731060207,-0.7247116301773686,,
HDFCBANK,7,decomposition+model/LSTM,classical,473.8305776894484,,474.41834632106094,53.06629122382949,,,,,Close,
NIFTY50,7,ETS,autogluon_internal,436.35884249460236,245450.98281611296,495.4300988193117,1.8123319570661272,1.8325821408408165,1.825804119007658,2.4369802158368308,-1.019624662744751,,
NIFTY50,7,Naive,autogluon_internal,453.30008370535717,266726.81998893194,516.4560194139787,1.8823299981720356,1.9045548116051696,1.896689328544992,2.53159378989965,-1.1946869296860836,,
NIFTY50,7,SeasonalNaive,autogluon_internal,463.33217075892856,272764.97624492645,522.2690649894233,1.9248514053851498,1.9472620873047182,1.938665390631738,2.5876210667467068,-1.244370207186949,,
NIFTY50,7,AutoARIMA,statsforecast,457.4194377536681,273819.6307968235,523.2777759439277,1.8991197321844466,1.922069297482946,1.9139254490417363,2.554599590035086,-1.2530481367647779,,
NIFTY50,7,Theta,autogluon_internal,464.899890978844,282198.1893149485,531.223295154635,1.9303533811897484,1.953950416190402,1.9452250148589212,2.5963764826747076,-1.321988758746857,,
NIFTY50,7,original/XGBoost,classical,439.83815020444257,,533.7537877005169,1.8253380833175397,,,,,Close,
RELIANCE,7,decomposition+model/ARIMA,classical,536.2771528036072,,537.3107805889659,42.56738171455142,,,,,Close,
RELIANCE,7,decomposition+model/ExpSmoothing,classical,538.4307669623983,,539.397808480658,42.74138690461746,,,,,Close,
TCS,7,AttentionForecaster,dl_univariate,544.504428333493,,549.7059551702921,13.61498188228945,,,,,,Close
RELIANCE,7,decomposition+model/RandomForest,classical,564.9446533575481,,566.1776089386894,44.852342650184426,,,,,Close,
RELIANCE,7,decomposition+model/XGBoost,classical,566.0097805413095,,567.1373128411994,44.93727608373971,,,,,Close,
TCS,7,Transformer,dl_multivariate,585.1237523351047,,591.9001241944463,14.626911045118336,,,,,,Close
