source,model_col,horizon,mean_rmse,mean_mae,mean_mape,mean_r2,n_stocks
brain_automl,decomposition+model/ExpSmoothing,15,0.00021774913426623864,0.00011928999028945613,238238.937203697,,5
brain_automl,WeightedEnsemble,15,0.00022853236003813165,0.00012634486724085074,246911.9134656055,-0.0824437925117941,5
brain_automl,ETS,15,0.00022854036098070613,0.00014840389866538546,290245.3128372143,-0.10510972418876578,5
brain_automl,DirectTabular,15,0.0002298795361877014,0.00015093729343920644,294518.39302000724,-0.11924157004622793,5
brain_automl,AutoARIMA,15,0.0002329093694692432,0.00014162088042352533,374757.86265509686,-0.16208382108130678,5
brain_automl,Theta,15,0.00024287582203017026,0.00015765763575085207,224216.7234670517,-0.33341191640420115,5
brain_automl,xgb_limitdepth,15,0.00028010414077353805,0.00016664596150355303,443.067646993063,-0.09988649325901511,1
brain_automl,Naive,15,0.00028214683332925135,0.00017650315712054192,797925.0587989459,-1.2792016928384329,5
brain_automl,RecursiveTabular,15,0.00030071247929863286,0.00020817815011157768,891076.366265436,-1.0815976484927208,5
brain_automl,SeasonalNaive,15,0.00030808270772422427,0.00020638410670042968,798759.947013252,-1.2597637293272577,5
vol_baseline,ewma_0p94,15,0.010872700398997886,0.01086209823392342,2550840.7258570134,-10746.969328707166,5
vol_baseline,garch,15,0.011632877669569098,0.011620590782061315,2693231.5545545868,-12247.32992937326,5
vol_baseline,egarch,15,0.011864888556166612,0.011842935667855568,2740889.9295977093,-12747.671480321947,5
vol_baseline,gjr_garch,15,0.011933500719149987,0.011895680861946596,2795840.146752929,-12970.289667994159,5
brain_automl,arima,30,0.0001804340232404385,0.00013595094858159817,959387.6977904722,-0.23915139752355208,4
brain_automl,AutoARIMA,30,0.0001855440720505285,0.00011846206512751542,585430.2479547147,-0.12640378872463365,5
brain_automl,original/XGBoost,30,0.00018851460332690588,0.0001295498234080034,2273282.1158185136,,5
brain_automl,WeightedEnsemble,30,0.00019039737476904918,0.00011615412800435379,330191.4119051517,-0.1592416410340348,5
brain_automl,ETS,30,0.00019047074986666118,0.0001356954713081137,1222800.1434966621,-0.20740461055732068,5
brain_automl,decomposition+model/LSTM,30,0.00019079012431923552,0.00011608567164819684,1603803.801865778,,5
brain_automl,original/RandomForest,30,0.00019108180509662986,0.00013828964554081648,2890246.428331635,,5
brain_automl,decomposition+model/XGBoost,30,0.00019441300456392324,0.00011463571580703146,1191433.223550644,,5
brain_automl,decomposition+model/RandomForest,30,0.00019547460312787477,0.00011436478949929799,1197863.4027176923,,5
brain_automl,original/ExpSmoothing,30,0.00019600716498561276,0.0001384730500407292,2842919.211289622,,5
brain_automl,DirectTabular,30,0.00019736874051715358,0.0001382872944200979,3208778.600161993,-0.28479480265015855,5
brain_automl,original/ARIMA,30,0.00020162737269730917,0.00014457984483199756,3070872.3356523737,,5
brain_automl,Theta,30,0.0002028487060417512,0.00014116927007677067,404184.569894891,-0.4202058842622806,5
brain_automl,decomposition+model/ARIMA,30,0.0002103232957824669,0.0001151589524487137,811112.9809612224,,5
brain_automl,original/LSTM,30,0.00021689074683140978,0.00016098692570068506,2343014.6882253406,,5
brain_automl,decomposition+model/ExpSmoothing,30,0.00021774913426623864,0.00011928999028945613,238238.937203697,,5
brain_automl,xgb_limitdepth,30,0.00023406011405875728,0.00016753641994383698,5762.461421526416,-0.14242813656680098,1
brain_automl,Naive,30,0.0002437906139707857,0.0001663438685325921,694352.082498443,-1.869631783607447,5
brain_automl,SeasonalNaive,30,0.0002783167531471613,0.00019165640519186103,691182.4340747396,-1.8286963627267538,5
brain_automl,RecursiveTabular,30,0.00028592194186235315,0.00020911553829673358,6296857.04993709,-1.9839697665103029,5
vol_baseline,ewma_0p94,30,0.011551541204411354,0.011509307714769736,2395708.090217746,-5617.156925603002,5
vol_baseline,garch,30,0.012383410267866258,0.012339344558941909,2503840.1352970945,-6433.6941547268925,5
vol_baseline,gjr_garch,30,0.012433533404559313,0.012390357509084977,2514931.033455911,-6522.261458364814,5
vol_baseline,egarch,30,0.012588363499848562,0.012538402041526096,2561686.8554186197,-6739.857952746638,5
