stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column
NIFTY50,7,SeasonalNaive,autogluon_internal,0.00018935429996597356,6.27124082850347e-08,0.0002504244562438635,430.22435772468776,175.157998527095,126.80217213202474,1.250899121850323,-0.8546153471651663,
RELIANCE,7,decomposition+model/ARIMA,classical,0.00014732401217694692,,0.0002597965437105861,792.595141493437,,,,,Volatility
RELIANCE,7,decomposition+model/ExpSmoothing,classical,0.0001499195310496216,,0.00026129385302897304,403.78883922852174,,,,,Volatility
HDFCBANK,7,SeasonalNaive,autogluon_internal,0.00022358171981347425,7.921280483459449e-08,0.00028144769466917737,8513472.191206573,133.80061271761875,144.05121221912518,0.7676174657555841,-1.6334296851119898,
HDFCBANK,7,RecursiveTabular,autogluon_internal,0.00021575839144283583,7.944769201492224e-08,0.0002818646696819632,9483542.157451516,125.22465779245864,139.0107288722804,0.7407578302601007,-1.6412385093875468,
BANKNIFTY,7,SeasonalNaive,autogluon_internal,0.0002288650065545528,8.546569104031466e-08,0.0002923451573744889,5800.695685880719,183.16513076725752,208.1649998362763,0.7723439582471354,-2.826980585134837,
RELIANCE,7,DirectTabular,autogluon_internal,0.00021265921847103358,1.0749076480289489e-07,0.00032785784236905925,941.1664159201887,75.03333652380272,65.79404089008368,0.517481159188032,0.16496712000874403,
TCS,7,original/RandomForest,classical,0.0002257024352685915,,0.000348791622062265,2276.7450004878915,,,,,Volatility
TCS,7,original/XGBoost,classical,0.00021266174568616736,,0.00035146663730098346,1553.1869820158156,,,,,Volatility
HDFCBANK,7,Naive,autogluon_internal,0.00032327762536010616,1.2577825095215038e-07,0.0003546522958506689,8530893.34469501,123.38189497763345,208.28417392662453,1.1099008976289875,-3.1814979344627545,
RELIANCE,7,WeightedEnsemble,autogluon_timeseries,0.0002075855790388171,1.2672386135702493e-07,0.0003559829509358909,837.7054419202435,76.49293699864623,64.22432177484927,0.505135055249711,0.0155564423919764,
TCS,7,original/ExpSmoothing,classical,0.00022135955495126595,,0.00036351535364742446,1960.4031328016838,,,,,Volatility
TCS,7,original/ARIMA,classical,0.000221119323678204,,0.00036380724977730703,1948.5729127390907,,,,,Volatility
TCS,7,original/LSTM,classical,0.00021523419719302105,,0.00036482555214629027,1689.1584247634714,,,,,Volatility
RELIANCE,7,Naive,autogluon_internal,0.0002110226262446386,1.3685865165227392e-07,0.0003699441196346739,955.1036605392081,73.09393372682239,65.28770019797543,0.5134987047780044,-0.06317481553392557,
TCS,7,decomposition+model/LSTM,classical,0.00020619728773034783,,0.0003757643030006546,1262.7780378048642,,,,,Volatility
TCS,7,decomposition+model/RandomForest,classical,0.00020241538207135763,,0.00038298195332868,1084.1324872279147,,,,,Volatility
TCS,7,decomposition+model/XGBoost,classical,0.0002070480991211617,,0.00038425438881781323,1370.7476955930435,,,,,Volatility
RELIANCE,7,xgb_limitdepth,flaml,0.00022367163294159057,1.506755399273711e-07,0.0003881694732038715,808.0866194554238,79.68601772931976,69.20114100633407,0.5442785726585377,-0.17051013899197498,
RELIANCE,7,ETS,autogluon_internal,0.00024314061545934831,1.64568627255633e-07,0.00040567058958671507,538.8039039216517,99.28963312167421,75.22459506147138,0.5916540483794414,-0.278437408324941,
TCS,7,decomposition+model/ARIMA,classical,0.00019774216141965536,,0.00040739235563136823,214.4875157913311,,,,,Volatility
TCS,7,decomposition+model/ExpSmoothing,classical,0.00020856617950624473,,0.00041291978952624124,188.45023084888552,,,,,Volatility
RELIANCE,7,AutoARIMA,statsforecast,0.00025735927631481405,1.7271412378699236e-07,0.000415588887949368,364.61154306936413,111.97373255254577,79.62366678031233,0.6262534847663955,-0.3417150065447705,
