horizon,mae,mape,model_col,mse,r2,rmse,source,stock
7,0.0001499195310496216,403.78883922852174,decomposition+model/ExpSmoothing,,,0.00026129385302897304,brain_automl,RELIANCE
7,0.00022358171981347425,8513472.191206573,SeasonalNaive,7.921280483459449e-08,-1.6334296851119898,0.00028144769466917737,brain_automl,HDFCBANK
7,0.00021575839144283583,9483542.157451516,RecursiveTabular,7.944769201492224e-08,-1.6412385093875468,0.0002818646696819632,brain_automl,HDFCBANK
7,0.0002288650065545528,5800.695685880719,SeasonalNaive,8.546569104031466e-08,-2.826980585134837,0.0002923451573744889,brain_automl,BANKNIFTY
7,0.00021265921847103358,941.1664159201887,DirectTabular,1.0749076480289489e-07,0.16496712000874403,0.00032785784236905925,brain_automl,RELIANCE
7,0.0002257024352685915,2276.7450004878915,original/RandomForest,,,0.000348791622062265,brain_automl,TCS
7,0.00021266174568616736,1553.1869820158156,original/XGBoost,,,0.00035146663730098346,brain_automl,TCS
7,0.00032327762536010616,8530893.34469501,Naive,1.2577825095215038e-07,-3.1814979344627545,0.0003546522958506689,brain_automl,HDFCBANK
7,0.0002075855790388171,837.7054419202435,WeightedEnsemble,1.2672386135702493e-07,0.0155564423919764,0.0003559829509358909,brain_automl,RELIANCE
7,0.00022135955495126595,1960.4031328016838,original/ExpSmoothing,,,0.00036351535364742446,brain_automl,TCS
7,0.000221119323678204,1948.5729127390907,original/ARIMA,,,0.00036380724977730703,brain_automl,TCS
7,0.00021523419719302105,1689.1584247634714,original/LSTM,,,0.00036482555214629027,brain_automl,TCS
7,0.0002110226262446386,955.1036605392081,Naive,1.3685865165227392e-07,-0.06317481553392557,0.0003699441196346739,brain_automl,RELIANCE
7,0.00020619728773034783,1262.7780378048642,decomposition+model/LSTM,,,0.0003757643030006546,brain_automl,TCS
7,0.00020241538207135763,1084.1324872279147,decomposition+model/RandomForest,,,0.00038298195332868,brain_automl,TCS
7,0.0002070480991211617,1370.7476955930435,decomposition+model/XGBoost,,,0.00038425438881781323,brain_automl,TCS
7,0.00022367163294159057,808.0866194554238,xgb_limitdepth,1.506755399273711e-07,-0.17051013899197498,0.0003881694732038715,brain_automl,RELIANCE
7,0.00024314061545934831,538.8039039216517,ETS,1.64568627255633e-07,-0.278437408324941,0.00040567058958671507,brain_automl,RELIANCE
7,0.00019774216141965536,214.4875157913311,decomposition+model/ARIMA,,,0.00040739235563136823,brain_automl,TCS
7,0.00020856617950624473,188.45023084888552,decomposition+model/ExpSmoothing,,,0.00041291978952624124,brain_automl,TCS
7,0.00025735927631481405,364.61154306936413,AutoARIMA,1.7271412378699236e-07,-0.3417150065447705,0.000415588887949368,brain_automl,RELIANCE
7,0.00029081206706468366,1456.2930057309989,RecursiveTabular,1.7924060723393982e-07,-0.3924154390787946,0.00042336816984031735,brain_automl,RELIANCE
7,0.0002996256033798669,1270.1575364112823,SeasonalNaive,1.8732270438068864e-07,-0.4552005245621291,0.00043280793012685044,brain_automl,RELIANCE
7,0.0002861045099115859,692.4450154859817,Theta,1.9092543043939606e-07,-0.4831879960638761,0.00043695014640047445,brain_automl,RELIANCE
7,0.0003421954338392704,237.05431176909593,arima,3.2247924966679507e-07,-0.025193555570121928,0.0005678725646364641,brain_automl,TCS
7,0.0003291712840592492,240.6679376032286,Theta,3.3024701012439604e-07,-0.049888037371891514,0.0005746712191543927,brain_automl,TCS
7,0.00034415279487486923,272.6917631288472,ETS,3.3646209615828824e-07,-0.06964641300642849,0.0005800535287008331,brain_automl,TCS
7,0.0003385944834819981,225.1311877411616,AutoARIMA,3.4628247443279935e-07,-0.10086637066476545,0.0005884577082788527,brain_automl,TCS
7,0.00033965858015617755,117.127727816527,DirectTabular,3.859953080096861e-07,-0.22711741192872448,0.0006212852066560785,brain_automl,TCS
7,0.0004045025640780881,186.0303434148364,RecursiveTabular,3.9573078221795787e-07,-0.2580674511298575,0.0006290713649642287,brain_automl,TCS
7,0.0004103880238726364,181.4631286972525,SeasonalNaive,4.026295273018297e-07,-0.2799992467688459,0.0006345309506256016,brain_automl,TCS
7,0.00033075485917903743,73.22307678024622,WeightedEnsemble,4.124977937051811e-07,-0.311371445543863,0.0006422599113327728,brain_automl,TCS
7,0.0003483679243978368,67.87533645818237,Naive,4.352730422540101e-07,-0.3837762221702441,0.0006597522582409325,brain_automl,TCS
15,6.900152896553686e-05,97758.71723484833,decomposition+model/XGBoost,,,9.748977800524768e-05,brain_automl,BANKNIFTY
15,7.78739521518494e-05,10815.529384105086,arima,9.554396671127982e-09,0.2635925171165907,9.774659416638506e-05,brain_automl,BANKNIFTY
15,7.060919490806305e-05,94576.07252605207,decomposition+model/LSTM,,,9.998004808757735e-05,brain_automl,BANKNIFTY
15,6.958816997585719e-05,88274.17039121197,decomposition+model/RandomForest,,,0.00010276793975772128,brain_automl,BANKNIFTY
